id_artists,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale
['5ESobCkc6JI4tIMxQttqeg'],1yjck0Owf0HfhY5kWHiXIQ,Me and My Gin,23,169960,0,['Bessie Smith'],1923,0.71,0.0735,5,-12.526,1,0.0488,0.99,0.0,0.0941,0.494,90.917,4,0.7912333333333333,0.3733650367340569,0.031453687424817245,0.23
['0Y0ZlznP6vzTS1qAm5dvTN'],2ivh0kwd7QIViw6YqDPdBA,Blue Yodel No. 9,23,157373,0,['Jimmie Rodgers'],1923,0.76,0.251,3,-11.491,1,0.0602,0.9690000000000001,2.43e-06,0.0561,0.735,108.456,4,0.8084833333333333,0.44539171358523577,0.029124271305635236,0.23
"['5ESobCkc6JI4tIMxQttqeg', '19eLuQmk9aCobbVDHc6eek']",50zXyjVdFb3xAr3hnyYYn1,St. Louis Blues,23,189600,0,"['Bessie Smith', 'Louis Armstrong']",1923,0.355,0.114,10,-15.968,1,0.0588,0.991,0.00686,0.10800000000000001,0.258,69.902,4,0.7338666666666667,0.28706361624101157,0.03508836864994911,0.23
"['5ESobCkc6JI4tIMxQttqeg', '19eLuQmk9aCobbVDHc6eek']",4ejUoPIMggFTVrAyvodqJQ,St. Louis Blues (with Louis Armstrong),23,190107,0,"['Bessie Smith', 'Louis Armstrong']",1923,0.408,0.145,10,-10.99,1,0.0501,0.9940000000000001,4.73e-05,0.138,0.294,68.8,4,0.8168333333333333,0.28253807898746236,0.03518219672434533,0.23
['5ESobCkc6JI4tIMxQttqeg'],2gyqc4p3WoxKsc6zaXF4hM,Backwater Blues,22,198053,0,['Bessie Smith'],1923,0.516,0.146,2,-8.985,1,0.0454,0.993,0.0223,0.172,0.41200000000000003,71.14399999999999,3,0.85025,0.29216408563203516,0.03665272508559267,0.22
['5ESobCkc6JI4tIMxQttqeg'],5lpBC66XQzpVDJuknDUuZd,Baby Won't You Please Come Home,22,176067,0,['Bessie Smith'],1923,0.6829999999999999,0.0534,0,-16.704,1,0.0356,0.996,0.000335,0.141,0.44,79.488,4,0.7216,0.32643004102551465,0.03258388081798834,0.22
['08Zk65toyJllap1MnzljxZ'],1xEEYhWxT4WhDQdxfPCT8D,Snake Rag,20,194533,0,"[""King Oliver's Creole Jazz Band""]",1923,0.708,0.361,0,-11.764000000000001,0,0.0441,0.9940000000000001,0.883,0.10300000000000001,0.902,105.695,4,0.8039333333333333,0.43405323050261385,0.03600129545664847,0.2
['0t4VVR2T9Sb0z3NdDdEU6S'],4ep3h4btBtuxsNeLFVzq5A,West End Blues,18,195400,0,['Louis Armstrong & His Hot Five'],1923,0.621,0.27399999999999997,3,-12.094000000000001,1,0.0514,0.986,0.63,0.113,0.523,84.788,4,0.7984333333333333,0.3481953290870488,0.03616174701582308,0.18
['5ESobCkc6JI4tIMxQttqeg'],6ktCV1ZtqlnXQeRFQvcXON,Down Hearted Blues,17,205440,0,['Bessie Smith'],1923,0.491,0.0583,0,-17.785,1,0.0431,0.996,0.376,0.13699999999999998,0.556,166.27,4,0.7035833333333333,0.6828140464134501,0.03801980198019802,0.17
['5ESobCkc6JI4tIMxQttqeg'],6N1wS1e5bMOubmVtkDLNrt,Gimme a Pigfoot and a Bottle of Beer,16,208827,0,['Bessie Smith'],1923,0.691,0.198,7,-11.164000000000001,0,0.0784,0.971,0.008879999999999999,0.154,0.5579999999999999,103.90100000000001,4,0.8139333333333333,0.42668588582669087,0.03864661793282132,0.16
"['5ESobCkc6JI4tIMxQttqeg', '19eLuQmk9aCobbVDHc6eek']",7GRsQLXMzDHYb8zZAnMCDK,Sobbin' Hearted Blues,15,180533,0,"['Bessie Smith', 'Louis Armstrong']",1923,0.415,0.0795,0,-19.172,1,0.0908,0.995,3.73e-05,0.426,0.44299999999999995,74.683,4,0.6804666666666667,0.3066975487357653,0.033410382159711295,0.15
['0t4VVR2T9Sb0z3NdDdEU6S'],08XPnovoMlLsFB3LDGq0rX,Muggles,14,168533,0,['Louis Armstrong & His Hot Five'],1923,0.586,0.113,10,-12.210999999999999,1,0.0607,0.9890000000000001,0.276,0.18100000000000002,0.484,85.235,4,0.7964833333333333,0.35003100526884234,0.031189599333765153,0.14
['08Zk65toyJllap1MnzljxZ'],3rauXVLOOM5BlxWqUcDpkg,Chimes Blues,14,170827,0,"[""King Oliver's Creole Jazz Band""]",1923,0.546,0.18899999999999997,0,-15.984000000000002,1,0.0581,0.996,0.9079999999999999,0.33899999999999997,0.5539999999999999,80.318,4,0.7336,0.3298385672691134,0.03161413898399186,0.14
['19eLuQmk9aCobbVDHc6eek'],5WlMyDvyQedom0kQ3MCTow,Lazy River,14,182707,0,['Louis Armstrong'],1923,0.5710000000000001,0.26899999999999996,4,-11.728,0,0.067,0.96,0.0129,0.121,0.49,101.845,4,0.8045333333333333,0.4182425967220655,0.03381271398167854,0.14
['6RuQvIr0t0otZHnAxXTGkm'],1UdqHVRFYMZKU2Q7xkLtYc,Pickin' On Your Baby,11,197493,0,"[""Clarence Williams' Blue Five""]",1923,0.52,0.153,0,-14.042,1,0.044000000000000004,0.995,0.131,0.353,0.319,102.93700000000001,4,0.7659666666666667,0.42272706739436655,0.036549088553715185,0.11
['5ESobCkc6JI4tIMxQttqeg'],0F5F4GWA0Tz1ebZlLar2wG,Work House Blues,11,201267,0,['Bessie Smith'],1923,0.41700000000000004,0.0498,5,-13.523,1,0.0344,0.996,0.12300000000000001,0.16899999999999998,0.41100000000000003,78.663,4,0.7746166666666667,0.32304204807254,0.037247524752475246,0.11
['6RuQvIr0t0otZHnAxXTGkm'],0Vl2DO5U6FjgBpzCtBN3OA,Everybody Loves My Baby,10,152507,0,"[""Clarence Williams' Blue Five""]",1923,0.514,0.193,2,-13.92,0,0.23800000000000002,0.996,0.19899999999999998,0.248,0.665,180.674,4,0.768,0.7419663500433252,0.028223743869714074,0.1
['5ESobCkc6JI4tIMxQttqeg'],1h0wyCVd12PDSd6CLoGaVL,Preachin' the Blues,11,171027,0,['Bessie Smith'],1923,0.703,0.185,8,-8.325,1,0.0441,0.993,0.00209,0.22,0.491,104.916,4,0.8612500000000001,0.43085414382338083,0.03165115203109096,0.11
