,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
7120,7120,0,C,0.887,2020,0.16899999999999998,['Bad Bunny'],0.86,175918,0.7909999999999999,0,4r9jkMEnArtWGH2rL2FZl0,0.000106,0.106,-4.784,1,A Tu Merced,82,2020-02-28,0.0568,92.023
9432,9432,0,C,0.931,2019,0.18,"['Rauw Alejandro', 'Chencho Corleone', 'KEVVO', 'Bryant Myers', 'Lyanno', 'Dalex']",0.7709999999999999,289899,0.769,1,74j34STf8L6uADnTN69ohv,1.57e-05,0.345,-3.504,0,El Efecto - Remix,82,2019-12-13,0.0694,167.96900000000005
9449,9449,0,C,0.7070000000000001,2020,0.0847,"['Sebastian Yatra', 'Guaynaa']",0.574,183240,0.8909999999999999,0,21N4Buj4xsyLb218lYle61,0.0,0.16,-3.665,0,Chica Ideal,89,2020-10-16,0.157,100.978
9454,9454,0,C,0.7120000000000001,2020,0.0518,"['Cali Y El Dandee', 'Danna Paola']",0.684,174027,0.8079999999999999,0,4K8cyoCDovlc4FvtUr2Hfx,1.02e-05,0.0858,-2.737,1,Nada,85,2020-08-14,0.061,173.905
11710,11710,0,C,0.746,2020,0.0137,['Dua Lipa'],0.647,193829,0.8440000000000001,0,3AzjcOeAmA57TIOr9zF1ZW,0.0006580000000000001,0.102,-3.756,1,Physical,81,2020-03-27,0.0457,146.967
13764,13764,0,C,0.893,2019,0.406,"['Rauw Alejandro', 'Chencho Corleone']",0.8490000000000001,217143,0.7809999999999999,0,4SJHHpKhcuXwDsCsPqshXj,0.0,0.0801,-4.635,0,El Efecto,81,2019-03-15,0.159,84.041
13773,13773,0,C,0.6779999999999999,2020,0.237,"['Rauw Alejandro', 'Dalex', 'Lenny Tavárez', 'Dímelo Flow']",0.8240000000000001,197721,0.631,0,50ZC4PM7hywH27RcCfViau,0.000116,0.0531,-2.7910000000000004,1,Elegí (feat. Dímelo Flow),84,2020-03-26,0.0809,171.965
17781,17781,0,C,0.825,2020,0.522,['Christian Nodal'],0.626,176347,0.47,0,6SnO4yCCYtz2rffMpEAlro,0.0,0.201,-2.984,1,Nace Un Borracho,80,2020-09-11,0.0316,140.046
17786,17786,0,C,0.66,2020,0.603,"['Camilo', 'Pablo Alborán']",0.483,188213,0.4920000000000001,0,5EbtodsuLbxrFDH6j5avVS,0.0,0.32299999999999995,-6.591,0,El Mismo Aire - con Pablo Alborán,84,2020-06-10,0.295,144.511
21571,21571,0,C,0.364,2020,0.00829,"['Alok', 'Ilkay Sencan', 'Tove Lo']",0.698,186700,0.7190000000000001,0,0GTPmh5G40joBg93vcSQNq,4.01e-06,0.326,-4.923,0,Don't Say Goodbye (feat. Tove Lo),80,2020-09-25,0.0455,120.062
22129,22129,1,Db,0.701,1959,0.912,['Dean Martin'],0.451,117147,0.24,0,2uFaJJtFpPDc5Pa95XzTvg,2.45e-06,0.175,-14.014,1,Let It Snow! Let It Snow! Let It Snow!,81,1959-01-01,0.0351,134.009
22408,22408,1,Db,0.74,1983,0.5429999999999999,['The Police'],0.82,253920,0.452,0,1JSTJqkT5qHq8MDJnJbRE1,0.00294,0.0714,-9.796,1,Every Breath You Take,84,1983-06-17,0.0348,117.401
22457,22457,1,Db,0.867,1987,0.207,['Whitney Houston'],0.7090000000000001,291293,0.8240000000000001,0,2tUBqZG2AbRi7Q0BIrVrEj,0.000307,0.0888,-8.824,1,I Wanna Dance with Somebody (Who Loves Me),82,1987-06-02,0.0453,118.818
